source_file,variety,date,cloud_cover,decision
indices_nuages_carioka.csv,carioka,2025-03-18,7.38,FLAG
indices_nuages_carioka.csv,carioka,2025-04-04,14.91,INTERPOLATE
indices_nuages_dhahbi2.csv,dhahbi,2025-03-18,7.38,FLAG
indices_nuages_dhahbi3.csv,dhahbi,2025-01-07,4.46,FLAG
indices_nuages_dhahbi3.csv,dhahbi,2025-03-18,7.38,FLAG
indices_nuages_dhahbi4.csv,dhahbi,2025-01-07,4.46,FLAG
indices_nuages_dhahbi4.csv,dhahbi,2025-03-18,7.38,FLAG
indices_nuages_dhahbi5.csv,dhahbi,2025-03-18,7.38,FLAG
indices_nuages_dhahbi6.csv,dhahbi,2024-12-13,19.35,INTERPOLATE
indices_nuages_dhahbi6.csv,dhahbi,2025-03-18,7.38,FLAG
indices_nuages_dhahbi7.csv,dhahbi,2025-03-18,7.38,FLAG
indices_nuages_inrat100.csv,inrat100,2025-04-04,14.91,INTERPOLATE
indices_nuages_inrat100_1.csv,inrat100,2025-04-04,14.91,INTERPOLATE
indices_nuages_inrat100_2.csv,inrat100,2025-04-04,14.91,INTERPOLATE
indices_nuages_karim.csv,karim,2025-04-04,14.91,INTERPOLATE
indices_nuages_karim1.csv,karim,2025-03-18,7.38,FLAG
indices_nuages_karim1.csv,karim,2025-04-04,14.91,INTERPOLATE
indices_nuages_khiar.csv,khiar,2025-01-07,4.46,FLAG
indices_nuages_khiar1.csv,khiar,2025-04-04,14.91,INTERPOLATE
indices_nuages_khiar2.csv,khiar,2025-03-18,7.38,FLAG
indices_nuages_khiar2.csv,khiar,2025-04-04,14.91,INTERPOLATE
indices_nuages_khiar3.csv,khiar,2024-11-28,17.39,INTERPOLATE
indices_nuages_khiar3.csv,khiar,2025-03-18,7.38,FLAG
indices_nuages_khiar4.csv,khiar,2024-11-28,17.39,INTERPOLATE
indices_nuages_khiar4.csv,khiar,2025-01-07,4.46,FLAG
indices_nuages_khiar4.csv,khiar,2025-03-18,7.38,FLAG
indices_nuages_khiar5.csv,khiar,2024-11-28,17.39,INTERPOLATE
indices_nuages_khiar5.csv,khiar,2025-03-18,7.38,FLAG
indices_nuages_maali0.csv,maali,2025-03-18,7.38,FLAG
indices_nuages_maali1.csv,maali,2025-03-18,7.38,FLAG
indices_nuages_maali2.csv,maali,2025-03-18,7.38,FLAG
indices_nuages_maali3.csv,maali,2025-04-04,14.91,INTERPOLATE
indices_nuages_maali4.csv,maali,2025-03-18,7.38,FLAG
indices_nuages_maali5.csv,maali,2025-03-18,7.38,FLAG
indices_nuages_salim.csv,salim,2025-04-04,14.91,INTERPOLATE
indices_nuages_salim1.csv,salim,2025-04-04,14.91,INTERPOLATE
indices_nuages_salim2.csv,salim,2025-03-18,7.38,FLAG
indices_nuages_salim3.csv,salim,2025-03-18,7.38,FLAG
indices_nuages_salim3.csv,salim,2025-04-04,14.91,INTERPOLATE
indices_nuages_saragola.csv,saragola,2025-03-18,7.38,FLAG
